Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,0.9448015184400514,0.15715998506819934,-0.19593967863492912,21.339323777344262,3.0406741561843322,44899151.58179612,(89798303.16359222+0j),(739.1060354090772+0j),(0.9999999642888654+0.0005418546729999077j),(0.9999999642888654-0.0005418546729999077j),(1.2978149131791865e-07+0j),(0.0013530532630827096+0j)
1,0.945357891806714,0.15747562585336555,-0.19690038621061698,21.40321908887619,3.0399432485977314,62685065.90536328,(92280470.71869987+0j),(724.4578255179849+0j),(1.0000471711842218+0j),(0.9999528220245626+0j),(7.976381499779527e-09+0j),(0.0013803539014166466+0j)
2,0.9458815809580062,0.15777771051371084,-0.197790629667519,21.46407346626899,3.039253240104691,47303407.98062381,(94606815.96124761+0j),(710.949497893744+0j),(1.0006690313358957+0j),(0.9993309329531513+0j),(-1.344473434166328e-07+0j),(0.0014066572878294813+0j)
3,0.9463527280970463,0.1580536189688138,-0.19858006615078294,21.519412177176765,3.0386308000088462,48338125.79508636,(96676251.59017271+0j),(699.0603291134253+0j),(1.0007419852836839+0j),(0.9992579764726953+0j),(5.089498718713763e-08+0j),(0.0014304429884853225+0j)
4,0.9470177228398142,0.15844970058445956,-0.1996760345514067,21.59846959132315,3.0377496396177817,49765357.382713005,(99530714.765426+0j),(682.7549246819904+0j),(1.00073663060792+0j),(0.9992633562417881+0j),(1.1365088526650073e-07+0j),(0.001464626459946545+0j)
5,0.9476425428674347,0.15882893594858935,-0.20068659473424513,21.67376449314448,3.0369189742025826,51053516.18379767,(102107032.36759533+0j),(667.9921203991454+0j),(1.0000000225969001+0.000303363504788421j),(1.0000000225969001-0.000303363504788421j),(-1.9721327692489415e-07+0j),(0.0014972854842425528+0j)
6,0.9482301829336658,0.15919184446321616,-0.20162033997978362,21.745475705875094,3.036135376014776,52200700.61258,(104401401.22515999+0j),(654.6426400513668+0j),(1.001024307564824+0j),(0.998975645580825+0j),(0.0015275198082769488+0j),(1.0878624683888379e-07+0j)
7,0.9487833358423405,0.1595389562448189,-0.20248476523102446,21.813773600835102,3.035395725682179,53208008.153632924,(106416016.30726583+0j),(642.5809841440534+0j),(1.0000000483428517+0.0010886931824253465j),(1.0000000483428517-0.0010886931824253465j),(5.588639284887209e-08+0j),(0.001556111595303334+0j)
8,0.9493044347097707,0.15987080833952852,-0.20328643831335724,21.878820486626342,3.0346971720233404,54078937.868854634,(108157875.73770925+0j),(631.6884212752275+0j),(1.0000000389474686+0.000835108521562859j),(1.0000000389474686-0.000835108521562859j),(0.0015828547369534161+0j),(5.8937306039430375e-08+0j)
9,0.9497956874476621,0.1601879410396207,-0.2040311395464217,21.94077098290809,3.03403709925313,54818848.93539027,(109637697.87078053+0j),(621.8545283016355+0j),(1.057845251694646e-08+0j),(0.0016081081679139827+0j),(0.9996765890552383+0j),(1.0003233917297505+0j)
10,0.9502591052033925,0.16049089446388506,-0.20472397653280844,21.999772378678518,3.0334130998708675,55434482.154937685,(110868964.30987535+0j),(612.9777953366693+0j),(1.0010031014791019+0j),(0.9989968554771347+0j),(0.0016316902024448268+0j),(-2.921766425646732e-07+0j)
11,0.9506965260554009,0.16078020549027594,-0.20536947924745083,22.055964975221173,3.032822951968732,55933546.51392686,(111867093.02785371+0j),(604.9656410785359+0j),(1.0007768641337227+0j),(0.9992231449008472+0j),(0.0016528348580984568+0j),(2.6933616025246357e-07+0j)
12,0.9511291049421109,0.16106949328752757,-0.20599988532110888,22.112015475090622,3.032238260958602,56340742.68366275,(112681485.36732548+0j),(597.4014310950253+0j),(0.999999995038632+0.0003648386574348045j),(0.999999995038632-0.0003648386574348045j),(-1.4166177569847808e-07+0j),(0.0016741106691318642+0j)
13,0.9515376971878972,0.16134562175372402,-0.20658819542363394,22.165397546254518,3.0316850321849182,362245352.8183778,(113279030.45436543+0j),(590.5925987852719+0j),(1.000864479935556+0j),(0.9991355326757905+0j),(1.3802799569679766e-09+0j),(0.0016933413427316012+0j)
14,0.951906436201349,0.16159720221215493,-0.20711326703506794,22.213940557771423,3.031184982887508,56832089.10471202,(113664178.20942402+0j),(584.7342932167384+0j),(1.0006309861076197+0j),(0.9993689936431576+0j),(7.710959670595838e-08+0j),(0.001710295747921134+0j)
15,0.9524286625130404,0.16195734019064795,-0.20784756897717072,22.283288541469325,3.030475552779162,56970391.53654309,(113940783.07308617+0j),(576.9136588250734+0j),(1.0000000172126555+0.0003436679413659701j),(1.0000000172126555-0.0003436679413659701j),(0.001733029440403613+0j),(5.188789693952244e-08+0j)
16,0.9529211633973469,0.16230105899428268,-0.20853025807498438,22.349335087869324,3.0298052139861316,80392708.3031433,(113892165.9477162+0j),(570.063360265131+0j),(0.9999999389237808+0.0006196073914232247j),(0.9999999389237808-0.0006196073914232247j),(0.0017543375790579191+0j),(-6.219469533413522e-09+0j)
17,0.9533859107678588,0.16262899858111723,-0.20916593827119262,22.412237285375795,3.029171537720066,56775998.47011854,(113551996.94023706+0j),(564.080932403479+0j),(1.0000000433246874+0.0005919357615123635j),(1.0000000433246874-0.0005919357615123635j),(-2.1243640820867192e-07+0j),(0.0017727519997818685+0j)
18,0.9538453906031301,0.1629566075645724,-0.2097864510539132,22.47498026968509,3.028544014261216,56459359.34944338,(112918718.69888675+0j),(558.6410508964503+0j),(1.0012352416519807+0j),(0.9987646774807759+0j),(0.0017901177107745117+0j),(-8.107494189922377e-08+0j)
19,0.9542792769970512,0.16326902194418788,-0.21036530043948234,22.53473607922109,3.0279505332341317,56018401.54227685,(112036803.08455369+0j),(553.9523590221531+0j),(1.000000022368476+0.0008838794641208166j),(1.000000022368476-0.0008838794641208166j),(-2.7341422750283226e-07+0j),(0.001805310475184227+0j)
