Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.6832033197590457,-0.5392406888856425,68.63075860155053,3.1347068846504125,2936.7118109154185,(-5873.423451572382+0j),(0.9999969388031115+0.0008078323273212002j),(0.9999969388031115-0.0008078323273212002j),(-0.00017027299512093825+0j),(0.19792278019122855+0.9802176151658205j),(0.19792278019122855-0.9802176151658205j)
1,-0.6842924197047685,-0.5359048752569512,68.59835438217644,3.1350026607196493,2932.368408817394,(-5864.736647124148+0j),(-0.00017051070601852616+0j),(1.0022510957086754+0j),(0.9977547317627048+0j),(0.16840169671609964+0.9857184529789061j),(0.16840169671609964-0.9857184529789061j)
2,-0.6853266952706845,-0.5327403264012597,68.5674877058656,3.135275880803617,2913.0308688868936,(-5826.061566131248+0j),(0.9999970709813866+0.002055135560768217j),(0.9999970709813866-0.002055135560768217j),(-0.00017164947887394726+0j),(0.13998566484317362+0.9901535303367821j),(0.13998566484317362-0.9901535303367821j)
3,-0.6863105292017498,-0.529733698516286,68.5380877480597,3.135528245079185,2880.1057963689414,(-5759.810538287547+0j),(0.9999982218662427+0.0027526845363964932j),(0.9999982218662427-0.0027526845363964932j),(-0.0001736047389994047+0j),(0.11267362039068218+0.9936320522547791j),(0.11267362039068218-0.9936320522547791j)
4,-0.6872478709322712,-0.5268729445064634,68.51008673132958,3.135761291991865,2834.1850539792867,(-5668.369931541012+0j),(1.0025328594661786+0j),(0.9974701439896857+0j),(-0.0001764301598510592+0j),(0.08645738295226524+0.9962555500136586j),(0.08645738295226524-0.9962555500136586j)
5,-0.6881422867632757,-0.5241471646765228,68.48341983319003,3.1359764172441356,2777.115053285814,(-5554.020174357425+0j),(0.9999989559087723+0.0019624357645505867j),(0.9999989559087723-0.0019624357645505867j),(-0.000180042960631446+0j),(0.061322843492819724+0.9981179834398015j),(0.061322843492819724-0.9981179834398015j)
6,-0.6889970041684007,-0.5215464751253959,68.4580250900304,3.1361748901206266,2709.5253491178537,(-5419.050513701535+0j),(1.0020211762797626+0j),(0.997982249994219+0j),(-0.00018453752765804454+0j),(0.03725102491623895+0.9993059397114902j),(0.03725102491623895-0.9993059397114902j)
7,-0.6898149508460445,-0.5190618919127652,68.43384329869566,3.136357867540573,2632.832658981536,(-5265.579371756929+0j),(1.0000004531552635+0.0002808040652155648j),(1.0000004531552635-0.0002808040652155648j),(-0.00018990953197391255+0j),(0.01421901515607793+0.9998989046938573j),(0.01421901515607793-0.9998989046938573j)
8,-0.6905987891432507,-0.5166852290689783,68.41081791703175,3.1365264061849363,2547.829262189216,(-5095.658328132935+0j),(1.0022247127307924+0j),(0.9977801442026472+0j),(-0.00019624621411844822+0j),(-0.007799212099445521+0.9999695856827904j),(-0.007799212099445521-0.9999695856827904j)
9,-0.6913509463986061,-0.5144090087817591,68.38889496442762,3.1366814729796952,2455.5857632338825,(-4911.171322850352+0j),(0.9999988120767405+0.001183298402939963j),(0.9999988120767405-0.001183298402939963j),(-0.00020362131901303598+0j),(-0.028832089321388754+0.9995842688964962j),(-0.028832089321388754-0.9995842688964962j)
10,-0.6920736417209177,-0.5122263821954229,68.36802292320098,3.136823954179651,2356.9563256403626,(-4713.912439142716+0j),(1.0022594127927085+0j),(0.9977438539172339+0j),(-0.00021214525242861028+0j),(-0.04890983712921085+0.9988031977481759j),(-0.04890983712921085-0.9988031977481759j)
11,-0.6927689096562882,-0.5101310594635313,68.3481526415048,3.13695466325355,2252.7487964213265,(-4505.497370891575+0j),(0.9999984024639891+0.0016183436013736403j),(0.9999984024639891-0.0016183436013736403j),(-0.00022195326461098798+0j),(-0.06806393783372154+0.9976809612128337j),(-0.06806393783372154-0.9976809612128337j)
12,-0.6934386211532393,-0.5081172478311023,68.32923723827719,3.1370743477404446,2143.7225474549873,(-4287.444861670823+0j),(1.0004599419629974+0j),(0.9995391985724186+0j),(-0.00023324359757890964+0j),(-0.08632668879481645+0.9962668833207817j),(-0.08632668879481645-0.9962668833207817j)
13,-0.694084502193345,-0.5061795966531113,68.3112320106705,3.137183695220833,2030.6159207667633,(-4061.117752349648+0j),(0.9999998196397681+0.0015042464351417333j),(0.9999998196397681-0.0015042464351417333j),(-0.0002462307249743143+0j),(-0.10373082036129902+0.9946054076402114j),(-0.10373082036129902-0.9946054076402114j)
14,-0.6947081504059232,-0.5043131484090504,68.29409434428204,3.1372833385182437,1913.8813988532013,(-3827.762536457177+0j),(0.9999971209649393+0.0018145427055886515j),(0.9999971209649393-0.0018145427055886515j),(-0.00026125964376957174+0j),(-0.12030917947078512+0.9927364712425185j),(-0.12030917947078512-0.9927364712425185j)
15,-0.6953110499619305,-0.5025132948434798,68.27778362645307,3.1373738602317593,1794.2497371382065,(-3588.499195608383+0j),(0.9999984367260684+0.000980839430449423j),(0.9999984367260684-0.000980839430449423j),(-0.0002786769005977267+0j),(-0.13609446377759704+0.9906958650004891j),(-0.13609446377759704-0.9906958650004891j)
