Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.8038959050287445,-0.17021601208697096,9.771092601514141,3.1262096402678914,276.4869462589725,(552.9720838789519+0j),(0.9999999977435012+6.688336690026213e-05j),(0.9999999977435012-6.688336690026213e-05j),(0.0018084095540055953+0j),(-0.5731254804627364+0.8194676220842207j),(-0.5731254804627364-0.8194676220842207j)
1,-0.8017421904888741,-0.17670636985546942,9.819659659238114,3.127322679309606,255.67666092764935,(511.351366047737+0j),(1.0001476156335722+0j),(0.9998524062728654+0j),(0.0019556024800089947+0j),(-0.4747444759441527+0.8801236745824554j),(-0.4747444759441527-0.8801236745824554j)
2,-0.7999057649722227,-0.18234530749948472,9.866255535475196,3.1282037623824226,234.01593681050255,(468.0297369016091+0j),(0.9999999873126488+0.0001595812136424571j),(0.9999999873126488-0.0001595812136424571j),(0.0021366163748482224+0j),(-0.3804381249673721+0.9248063759897635j),(-0.3804381249673721-0.9248063759897635j)
3,-0.7983207603334879,-0.18730011708025868,9.910868538683413,3.1289075290357333,212.195368598599,(424.38838070615725+0j),(0.9999999829045305+0.0001856549126045293j),(0.9999999829045305-0.0001856549126045293j),(0.002356332183180269+0j),(-0.2907683335243255+0.9567934867146092j),(-0.2907683335243255-0.9567934867146092j)
4,-0.7969399747460455,-0.19169171201014248,9.95352691897235,3.1294725410403,190.65681589592575,(381.31100926070053+0j),(0.9999999789161784+0.0002054545928629278j),(0.9999999789161784-0.0002054545928629278j),(0.0026225311512596307+0j),(-0.2060148233359272+0.9785488708112018j),(-0.2060148233359272-0.9785488708112018j)
5,-0.7957281924259245,-0.19561105212878957,9.994279983223066,3.129927084698069,169.69215847701005,(339.3813703198275+0j),(1.0002474842457545+0j),(0.9997525771544509+0j),(0.0029465376923113796+0j),(-0.1262704134883615+0.9919958581957323j),(-0.1262704134883615-0.9919958581957323j)
6,-0.7946583163485742,-0.1991287001113607,10.033188283523733,3.130292526154431,149.49627723851307,(298.98920987472286+0j),(0.9999998844642044+0.0004806558440246549j),(0.9999998844642044-0.0004806558440246549j),(0.003344602304132599+0j),(-0.0515019886717043+0.9986728919735826j),(-0.0515019886717043-0.9986728919735826j)
7,-0.7937089836936787,-0.20230073961652217,10.07031816386707,3.1305853774894237,130.19774129031617,(260.3916421959276+0j),(0.9999997982159928+0.0006353479082744463j),(0.9999997982159928-0.0006353479082744463j),(0.003840369036066804+0j),(0.01840839067177405+0.9998305512199999j),(0.01840839067177405-0.9998305512199999j)
8,-0.7928630200498603,-0.20517262672388037,10.105738574824157,3.130818633729533,111.87787461143627,(223.7512799746961+0j),(0.9999998557048286+0.0005357042524048298j),(0.9999998557048286-0.0005357042524048298j),(0.004469248181812243+0j),(0.08363483080848913+0.9964964701772102j),(0.08363483080848913-0.9964964701772102j)
9,-0.792106395685191,-0.20778179977571018,10.139519145274972,3.1310026735601415,94.58331362374663,(189.16134075504186+0j),(0.9999996493262924+0.0008374827100076811j),(0.9999996493262924-0.0008374827100076811j),(0.005286492453202998+0j),(0.14438722434013523+0.9895212627565692j),(0.14438722434013523-0.9895212627565692j)
10,-0.7914274965889696,-0.2101595082567025,10.171728987100108,3.1311458865958888,78.3346994411829,(156.66301447479827+0j),(1.0008370482775424+0j),(0.9991636601801241+0j),(0.006383127473842044+0j),(0.20089660095623924+0.9796124518013426j),(0.20089660095623924-0.9796124518013426j)
11,-0.7907631771818235,-0.21252374110488262,10.205205428583817,3.1312637253999487,61.7781206644391,(123.54814731839156+0j),(0.9999995410160368+0.0009570039792526874j),(0.9999995410160368-0.0009570039792526874j),(0.008094010501479737+0j),(0.25807250890866024+0.9661255509226568j),(0.25807250890866024-0.9661255509226568j)
12,-0.790166808357724,-0.21468175030431538,10.237117875737841,3.1313486042427394,46.383810250698694,(92.75683962524809+0j),(0.9999999927999959+0.00011691353619004584j),(0.9999999927999959-0.00011691353619004584j),(0.010780876154470445+0j),(0.3110260676184443+0.9504013811342117j),(0.3110260676184443-0.9504013811342117j)
13,-0.7896301170438517,-0.21665623956769872,10.267535484533887,3.131406138092309,32.13016160463362,(64.24475742803389+0j),(1.001321286825989+0j),(0.9986804619031657+0j),(0.015565472347097363+0j),(0.3600292059809377+0.9329410328851123j),(0.3600292059809377-0.9329410328851123j)
14,-0.7891460535313861,-0.21846672640818454,10.296525208974971,3.131440976577179,18.984053639579667,(37.94175108917618+0j),(1.001577332652691+0j),(0.9984251396267628+0j),(0.026356190277379045+0j),(0.40534913648526916+0.9141619536770622j),(0.40534913648526916-0.9141619536770622j)
