Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.7573633983896171,-0.3129755227729315,11.838762675097783,3.140757526186203,5043.0064599877805,(10086.012776107429+0j),(0.9999999985394682+5.36831471396719e-05j),(0.9999999985394682-5.36831471396719e-05j),(9.9147206905679e-05+0j),(-0.9688973880375602+0.24746282842888861j),(-0.9688973880375602-0.24746282842888861j)
1,-0.7573700206887013,-0.31374154960871814,11.887446370046298,3.1402638628265493,6316.168227753053,(12632.336136538597+0j),(7.916191987039228e-05+0j),(0.9999999996881492+2.4772064342871664e-05j),(0.9999999996881492-2.4772064342871664e-05j),(-0.9821237853484319+0.18823620866585292j),(-0.9821237853484319-0.18823620866585292j)
2,-0.7573892858372984,-0.3144344330230293,11.933814179495458,3.139789103286539,7658.652290403975,(15317.304515522312+0j),(0.9999569096350285+0j),(1.0000430922246322+0j),(6.528564141461078e-05+0j),(-0.9916847158308738+0.12869119778554j),(-0.9916847158308738-0.12869119778554j)
3,-0.757419129191542,-0.31506185916203844,11.977975989626406,3.139332949900423,9062.18370094692,(18124.3673467195+0j),(0.9999598289795204+0j),(1.0000401726406059+0j),(5.517433984747515e-05+0j),(-0.9980381831328156+0.0626081864374045j),(-0.9980381831328156-0.0626081864374045j)
4,-0.7574577683811831,-0.3156306121992829,12.020036523608708,3.1388950309479835,10518.499994382062,(21036.999852145054+0j),(0.999999999838385+1.7024573956112247e-05j),(0.999999999838385-1.7024573956112247e-05j),(4.753529508930479e-05+0j),(-1.0581904148032681+0j),(-0.945009504915951+0j)
5,-0.7575036633574933,-0.3161466949896059,12.060095574140183,3.1384749188410597,12019.462776758925,(24038.925511918653+0j),(4.159919893115545e-05+0j),(1.000032582862085+0j),(0.9999674181946986+0j),(-1.0768974094636279+0j),(-0.9285935607349209+0j)
6,-0.7575554827531444,-0.3166154311243268,12.098248227681243,3.1380721446812805,13557.152366872424,(27114.304122533882+0j),(0.9999941762739895+0j),(1.0000058237679994+0j),(3.688090147174825e-05+0j),(-1.062042288906611+0j),(-0.9415820918294631+0j)
7,-0.7576120754201017,-0.3170415516659374,12.134585080154531,3.1376862099432326,15123.94321890386,(30247.886404747558+0j),(0.9999999999932894+5.2715084254086805e-06j),(0.9999999999932894-5.2715084254086805e-06j),(3.306016224043963e-05+0j),(-0.9991020718362569+0.042368031020265734j),(-0.9991020718362569-0.042368031020265734j)
8,-0.7576781952886179,-0.31746335867166564,12.172311941406473,3.1372831828350694,16860.50786984129,(33721.012457554556+0j),(1.0009501316786864+0j),(0.9990507703183242+0j),(2.9655097242596818e-05+0j),(-0.9944263047606245+0.10543398124025143j),(-0.9944263047606245-0.10543398124025143j)
9,-0.7577420157235043,-0.31781494832662166,12.205272112333153,3.136929193303735,18472.625140538898,(36945.250254010716+0j),(0.9999803908030723+0j),(1.0000196096306966+0j),(2.7067080375226254e-05+0j),(-0.9888053731882513+0.14921103831177557j),(-0.9888053731882513-0.14921103831177557j)
10,-0.7578141738178136,-0.3181635320638961,12.239492935625178,3.1365598598043163,20243.381356673897,(40486.75783839394+0j),(1.0008859756499542+0j),(0.9991148086220745+0j),(2.4699430964392196e-05+0j),(-0.9814719558627151+0.191605845044064j),(-0.9814719558627151-0.191605845044064j)
11,-0.7578884153551422,-0.3184801501403907,12.272084797353772,3.136206444968891,22024.630980081518,(44049.249493886695+0j),(1.0007057812674824+0j),(0.9992947166578287+0j),(2.2701855967978468e-05+0j),(-0.9730872395549448+0.2304370287418541j),(-0.9730872395549448-0.2304370287418541j)
12,-0.7579640711420433,-0.3187679329904463,12.303125173668418,3.135868386896572,23809.63948126128,(47619.2787475887+0j),(1.0005579378303875+0j),(0.9994423732845792+0j),(2.099989798728406e-05+0j),(-0.9638488688156328+0.2664495413448135j),(-0.9638488688156328-0.2664495413448135j)
13,-0.7580405665977323,-0.31902968188018827,12.332687866393682,3.1355451255976017,25592.22634387745,(51184.44777424853+0j),(1.000437571370278+0j),(0.9995626199606842+0j),(1.953718263790161e-05+0j),(-0.9539301471799773+0.3000287891206774j),(-0.9539301471799773-0.3000287891206774j)
14,-0.7581174096640458,-0.3192679067479867,12.360843175465643,3.1352361063505736,27366.71121776357,(54733.41885219301+0j),(0.9996595793318983+0j),(1.0003405366074842+0j),(1.827037221200172e-05+0j),(-0.9434825140315867+0.3314223072104033j),(-0.9434825140315867-0.3314223072104033j)
15,-0.7581941803260346,-0.3194848591781417,12.387658063610683,3.1349407823675266,29127.95994570212,(58255.908340093825+0j),(1.000263089074932+0j),(0.9997369800866693+0j),(1.7165637452104e-05+0j),(-0.9326378386684646+0.36081388815266785j),(-0.9326378386684646-0.36081388815266785j)
16,-0.7582705215050332,-0.3196825612190397,12.413196313548845,3.13465861689206,30871.336993955105,(61742.66648859679+0j),(0.9997998643775955+0j),(1.0002001756658117+0j),(1.619625350949536e-05+0j),(-0.9215105282012632+0.3883533782706998j),(-0.9215105282012632-0.3883533782706998j)
17,-0.7583461311259747,-0.31986283063911836,12.437518678008551,3.1343890848317715,32592.722968277547,(65185.44592121425+0j),(0.9998486879289566+0j),(1.0001513349944942+0j),(1.5340850305998673e-05+0j),(-0.910199452255112+0.41417020307421j),(-0.910199452255112-0.41417020307421j)
18,-0.758420755193095,-0.3200273031178219,12.4606830228399,3.13413167400748,34288.48066687731,(68576.96131917246+0j),(0.9998881704905347+0j),(1.0001118419826447+0j),(1.4582157079634299e-05+0j),(-0.89878969117793+0.4383800759983368j),(-0.89878969117793-0.4383800759983368j)
