Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.1046329652851168,0.14753984245695542,0.022029827925231865,13.673658494351084,3.1027344132936086,98243.05934641966,(196486.1186877499+0j),(-2.458171706781128+0j),(1.0000030319024982+0j),(0.9999969680970959+0j),(5.089435202364545e-06+0j),(-0.40680640705924714+0j)
1,1.1046329652851168,0.14753984245695542,0.022029827925231865,13.673658494351084,3.1027344132936086,106554.02680284399,(213108.0536009955+0j),(-0.8385426599610197+0.5448359452787557j),(-0.8385426599610197-0.5448359452787557j),(0.9999999999876162+2.554425184710851e-06j),(0.9999999999876162-2.554425184710851e-06j),(4.692457402973029e-06+0j)
2,1.1041434339605734,0.1471258854295307,0.025059027524936175,13.702788386108491,3.1027835585435013,117181.86318804236,(234362.5389382121+0j),(0.14638829847252177+0.9892272063621419j),(0.14638829847252177-0.9892272063621419j),(0.9999999999504888+1.2843085636707407e-05j),(0.9999999999504888-1.2843085636707407e-05j),(4.266871906676807e-06+0j)
3,1.1037960777270535,0.14706044952558095,0.02663361132099708,13.731040493690266,3.102669870344618,131879.71096923455,(263754.92821359856+0j),(2.4339748762622113+0j),(1.0000034614298496+0j),(0.9999965387331264+0j),(3.7913337565914836e-06+0j),(0.4108505842288792+0j)
4,1.103507223095159,0.14712262683054808,0.027651447411246855,13.758059597800862,3.1025010601061904,143735.7526400496,(287468.25218959455+0j),(4.3601655356560025+0j),(1.000004205583684+0j),(0.9999957944728971+0j),(3.4786056414104278e-06+0j),(0.22934909049153795+0j)
5,1.1032537066527992,0.14725177287253388,0.02835877564173913,13.783834164089692,3.10230597597313,154504.96534329114,(309009.9306833462+0j),(5.784655337708354+0j),(1.0000127833041421+0j),(0.9999872167342129+0j),(3.2362249475530854e-06+0j),(0.17287114644950416+0j)
6,1.1030250431291881,0.14742054862257908,0.028866436015766744,13.808400635659329,3.102097366557619,164595.1818805118,(329190.3637579859+0j),(6.944252103311522+0j),(1.0000105262271506+0j),(0.9999894737550851+0j),(3.0377764456171e-06+0j),(0.14400398853874735+0j)
7,1.1028154117743392,0.14761388167607253,0.02923556166960856,13.831807031194666,3.101882131823547,174154.1731394898,(348308.13855589734+0j),(7.925854366212527+0j),(1.000008134052842+0j),(0.9999918659802228+0j),(2.87101934447269e-06+0j),(0.1261693634326318+0j)
8,1.1026211774776058,0.14782248107788853,0.029503971495416705,13.854104032758737,3.1016644474078188,183248.62815160828,(366494.6019700403+0j),(8.777141486417378+0j),(0.9999999999894447+1.0593600786071559e-05j),(0.9999999999894447-1.0593600786071559e-05j),(2.728533386836895e-06+0j),(0.11393230949127207+0j)
9,1.1024398850894659,0.14804020573936852,0.029696855950367522,13.875342080207737,3.1014470194778174,191907.9740797442,(383814.30796586245+0j),(9.528355542802148+0j),(0.99999999998141+4.007539747614555e-06j),(0.99999999998141-4.007539747614555e-06j),(2.6054154466537557e-06+0j),(0.10494990405151651+0j)
10,1.1022545466560882,0.14828354564189838,0.029841934949594123,13.89739373410854,3.101211896460573,200152.29290624947,(400303.0160847521+0j),(10.200230559751269+0j),(1.0000046704004164+0j),(0.9999953296064678+0j),(2.498097787155095e-06+0j),(0.09803699969441412+0j)
11,1.1020800941741122,0.14852995300738403,0.029934760912182487,13.918396140815346,3.10097983278366,208697.9844083569,(417395.96881431795+0j),(10.861098741970338+0j),(1.0000172805650698+0j),(0.999982719577733+0j),(2.3958610120853723e-06+0j),(0.09207171608935455+0j)
12,1.1019153376434978,0.14877669047143854,0.029986959593863678,13.938398704909442,3.1007519662668592,216811.4047279606,(433622.80945361505+0j),(11.462020803193042+0j),(1.0000147115847544+0j),(0.9999852884619862+0j),(2.3061571392511763e-06+0j),(0.08724465055459674+0j)
13,1.1017593454966315,0.14902174988723044,0.030007310304357774,13.957448715072262,3.100529102139853,224499.5698024502,(448999.1396026732+0j),(12.013198706032377+0j),(1.0000149928839375+0j),(0.9999850071559419+0j),(2.2271879139885172e-06+0j),(0.0832417763096252+0j)
14,1.1016113675789154,0.14926364320265445,0.030002574955556346,13.975591346745254,3.100311808937546,231784.2639447908,(463542.2701704451+0j),(12.522468366648681+0j),(1.0000000000132534+8.677893616715744e-06j),(1.0000000000132534-8.677893616715744e-06j),(2.1571783670414435e-06+0j),(0.07985646049366311+0j)
15,1.101470784852587,0.14950126370282546,0.02997804397038732,13.992869707381072,3.1001004818496902,238636.1138678823,(477272.22773366934+0j),(12.995954603226757+0j),(1.0000164697847378+0j),(0.9999835302802793+0j),(2.095287760151113e-06+0j),(0.07694702158018515+0j)
16,1.101337075416686,0.14973379048527785,0.029937908969813323,14.009324902478939,3.099895386220848,245105.98089404375,(490211.96178604756+0j),(13.438514145178504+0j),(1.000009868280794+0j),(0.9999901317388558+0j),(2.03999648926896e-06+0j),(0.07441298860663895+0j)
17,1.1012097909041767,0.14996062065854782,0.02988552492689806,14.024996111348624,3.0996966884045287,251194.7519281224,(502387.1384072858+0j),(13.854045440534193+0j),(1.000010805376414+0j),(0.9999891946708089+0j),(1.9904874451559103e-06+0j),(0.07218108270542362+0j)
18,1.1010885397051442,0.15018131996876202,0.029823599264249344,14.039920666757483,3.0995044782574155,256912.86609580126,(513825.73218965635+0j),(14.245711194283555+0j),(1.000011293446803+0j),(0.9999887066647009+0j),(1.946196623447939e-06+0j),(0.07019656560763426+0j)
