Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,0.8598966683026158,-0.09851898821950732,7.622953560310735,3.185226196649413,1.0149836727546564,(1.1887417111463545+0j),(0.8412256342110205+0j),(1.0000762181966474+0j),(0.999923787809245+0j),(0.7964075943442102+0.6047602365159734j),(0.7964075943442102-0.6047602365159734j)
1,0.8596170280036676,-0.09770395728155228,7.626171894023089,3.1852178493007424,1.0309970932778962,(1.2819054556310823+0j),(0.780088730827636+0j),(1.0000706248038365+0j),(0.9999293802889911+0j),(0.8008275926122155+0.5988949548217241j),(0.8008275926122155-0.5988949548217241j)
2,0.8588915338006864,-0.09565588272938816,7.637305007106075,3.185188574479511,1.1360960186369433,(1.6752751758404782+0j),(1.0000725898416583+0j),(0.999927415157181+0j),(0.5969168615558008+0j),(0.8157979754594771+0.5783369806922343j),(0.8157979754594771-0.5783369806922343j)
3,0.8577855790989383,-0.09274317877306762,7.662468528580251,3.1851199749392274,1.7218022712289707,(3.123445257587923+0j),(1.0000653214101987+0j),(0.9999346828013084+0j),(0.3201592848788236+0j),(0.8477728187406282+0.5303595457843251j),(0.8477728187406282-0.5303595457843251j)
4,0.8569698559006839,-0.0907917691559048,7.688058317209489,3.1850464085970667,2.988136344949966,(5.803977039309457+0j),(1.00008155471686+0j),(0.9999184516950024+0j),(0.17229565061531263+0j),(0.8775713346803156+0.4794460893024354j),(0.8775713346803156-0.4794460893024354j)
5,0.856306288227215,-0.0893615033689453,7.713992576839665,3.184967473247429,5.25473316986342,(10.413436561846998+0j),(1.0000530038040265+0j),(0.999946998918722+0j),(0.09602977788716113+0j),(0.904896899975432+0.42563082643864614j),(0.904896899975432-0.42563082643864614j)
6,0.8557730625672533,-0.08834258647494944,7.738784214535532,3.184887436925182,8.71612203040355,(17.37468907402492+0j),(1.0000674201004744+0j),(0.9999325843983583+0j),(0.05755498678531038+0j),(0.9282545677423809+0.3719455033541884j),(0.9282545677423809-0.3719455033541884j)
7,0.8551338530704514,-0.08732535417514418,7.774301590529403,3.184764046304373,16.855490134876085,(33.681290195702466+0j),(0.9999999997146496+2.3763388192983003e-05j),(0.9999999997146496-2.3763388192983003e-05j),(0.029690074051196877+0j),(0.9569260291212006+0.29033183564729054j),(0.9569260291212006-0.29033183564729054j)
8,0.8546302360819238,-0.08674386210162995,7.808187732299979,3.184635568378626,29.7329025438174,(59.44898394228149+0j),(1.0000370969559977+0j),(0.9999629043478336+0j),(0.0168211453534684+0j),(0.9789591830370186+0.20405616370862595j),(0.9789591830370186-0.20405616370862595j)
9,0.8542290175763803,-0.08648792271319554,7.840491296869131,3.1845021096444928,48.86107645557639,(97.71191874230186+0j),(0.0102341660346319+0j),(1.0001011000270503+0j),(0.9998989101129956+0j),(0.99510758706035+0.09879721744519067j),(0.99510758706035-0.09879721744519067j)
10,0.8538886892881135,-0.08649370666297776,7.873404214040725,3.1843538872722057,78.2267695963091,(156.44714725759394+0j),(0.006391935024333431+0j),(0.9999002128249718+0j),(1.0000997971212071+0j),(1.1227728109791542+0j),(0.8906521339147031+0j)
11,0.8536221399837344,-0.0867293348074285,7.904756264331998,3.1842000549434095,119.18642831842018,(238.36866145449594+0j),(0.004195182344444705+0j),(0.9999514150093368+0j),(1.000048587301185+0j),(1.1767836722069334+0j),(0.8497738570119703+0j)
