Index,Initial theta2,Initial omega1,Initial omega2,Period,Hamiltonian,Eig1,Eig2,Eig3,Eig4
0,0.0,2.886751337844125e-05,-4.082482892994843e-05,3.4004353862791166,-2.9999999995118447,-0.858216186293263,-0.858216186293263,0.9999999999999982,0.9999999999999982
1,5.232904911407008e-20,5.7735026721107994e-05,-8.164965779832429e-05,3.4004353908920097,-2.9999999980473784,-0.8582161881665956,-0.8582161881665956,1.0000000000185034,0.9999999999814945
2,8.387646115649559e-20,0.00010805323968913066,-0.0001528103569307519,3.400435406284621,-2.999999993160649,-0.8582161925823086,-0.8582161925823086,0.9999999999999984,0.9999999999999984
3,6.67385077142505e-20,0.0001957616080415509,-0.0002768487205136473,3.400435455452715,-2.9999999775511363,-0.8582162102986202,-0.8582162102986202,0.9999999999999967,0.9999999999999967
4,-1.180797621545861e-19,0.00034864377314927034,-0.0004930567492009209,3.4004356090248957,-2.999999928796206,-0.8582162630008189,-0.8582162630008189,0.99999999999997,0.99999999999997
5,-2.6827214430202763e-19,0.0006151286147634421,-0.0008699232118967595,3.400436082917839,-2.99999977834825,-0.8582164692031161,-0.8582164692031161,0.9999999999999994,0.9999999999999994
6,-1.6832824356563733e-19,0.0009924217037155314,-0.0014034961586349246,3.4004372020374443,-2.9999994230584774,-0.858216923684916,-0.858216923684916,0.9999999999999994,0.9999999999999994
7,-1.1838229393922736e-18,0.00152659780735679,-0.002158935052818327,3.400439684877112,-2.9999986348243715,-0.8582179319801612,-0.8582179319801612,0.9999999999999988,0.9999999999999988
8,1.948245733462638e-18,0.002282888360844733,-0.0032284907762598195,3.400445000900942,-2.999996947128402,-0.8582200908373534,-0.8582200908373534,0.999999999999999,0.999999999999999
9,1.3203273136041292e-18,0.0033536432260868375,-0.004742764864504432,3.400456136973712,-2.999993411709093,-0.858224613193165,-0.858224613193165,0.9999999999999989,0.9999999999999989
10,8.714883971538378e-19,0.0048695959561676815,-0.006886639860622401,3.4004791384091626,-2.9999861092845554,-0.8582339538759829,-0.8582339538759829,0.9999999999999964,0.9999999999999964
11,-3.271919177039203e-18,0.00701579284839475,-0.009921803128565486,3.4005262038051733,-2.9999711668774798,-0.8582530659120138,-0.8582530659120138,0.9999999999999799,0.9999999999999799
12,2.4617906968871036e-18,0.010054087207829241,-0.014218549178376914,3.4006218931550714,-2.9999407862934566,-0.8582919193670435,-0.8582919193670435,1.0000000008584327,0.9999999991415647
13,-4.852896991023422e-18,0.013862296286177727,-0.01960404478886417,3.4007899247667894,-2.999887434532903,-0.8583601354589576,-0.8583601354589576,0.9999999999999994,0.9999999999999994
14,-1.3972688109025165e-17,0.01863485360202575,-0.026353170491595593,3.4010760274323744,-2.9997965849078114,-0.8584762525491978,-0.8584762525491978,0.9999999999999987,0.9999999999999987
15,3.894801990214361e-17,0.024614618257080206,-0.03480919270124139,3.4015530156828984,-2.9996450956099805,-0.8586697509883734,-0.8586697509883734,0.999999999999998,0.999999999999998
16,2.3414684365478217e-17,0.03210426893322734,-0.0453997761628365,3.4023362568544346,-2.999396272701885,-0.8589872389733066,-0.8589872389733066,0.9999999999999967,0.9999999999999967
17,7.496705230232551e-17,0.041479736196892346,-0.058655779087931535,3.403607592094579,-2.9989922075178206,-0.8595019220677131,-0.8595019220677131,0.9999999999999891,0.9999999999999891
18,2.553661592493499e-16,0.05320541969731179,-0.0752323778624301,3.405651893761192,-2.9983419982144124,-0.860327829980734,-0.860327829980734,0.9999999999999483,0.9999999999999483
19,8.704690333549429e-17,0.06785025573019564,-0.09593102086185794,3.4089119205898704,-2.997303906713484,-0.8616405517517991,-0.8616405517517991,0.9999999999997344,0.9999999999997344
20,1.4803332126028295e-16,0.0861025030483537,-0.12171886827466653,3.4140683263012916,-2.995658916748437,-0.8637059584294209,-0.8637059584294209,0.9999999999985021,0.9999999999985021
21,5.703419580331656e-17,0.10877936013716967,-0.15373964606624513,3.4221513297437554,-2.993072811748662,-0.8669165444026115,-0.8669165444026115,1.0000000031664187,0.9999999968335795
