Index,Initial theta2,Initial omega1,Initial omega2,Period,Hamiltonian,Eig1,Eig2,Eig3,Eig4
0,-0.8885634158974653,1.243576218418162,-1.3501782751589833,18.18357435185891,-1.2312424951501042,0.9999999999999591,0.9999999999999591,1.0000000000000697,1.0000000000000697
1,-0.8877870742481909,1.2446972783236323,-1.349804082189237,18.183596703172608,-1.231233300588681,0.9999999999948537,0.9999999999948537,1.0000003805837976,0.9999996194094419
2,-0.882528345328665,1.249618635765532,-1.3550068478640316,18.18372527064296,-1.2311798027978922,1.0000000010734467,1.0000000010734467,0.9999999812656728,0.9999999812656728
3,-0.8785736600486932,1.2525128538221824,-1.3612543001291852,18.183765619011595,-1.2311633754000983,1.000000034135627,1.000000034135627,0.9999999582000323,0.9999999582000323
4,-0.8718653400841034,1.2588802146470057,-1.3678929637068746,18.184164912637343,-1.2309976026543392,1.0000000609958695,1.0000000609958695,0.9999999301079849,0.9999999301079849
5,-0.8631048120261479,1.2662801575250446,-1.3793902354413534,18.18476321078047,-1.2307507613722544,0.9999998406705335,0.9999998406705335,0.9997879873303183,1.0002122992875953
6,-0.8571681946401346,1.2716659965123582,-1.3863141061660555,18.185387911918813,-1.2304924560810986,1.0002393333803,0.9999998061996381,0.9999998061996381,0.9997609784969456
7,-0.8487236196633496,1.279385524804069,-1.3962406973729908,18.18650675940982,-1.2300299336855876,0.9999998104427326,0.9999998104427326,1.0000756464697427,0.9999243870624676
8,-0.838984557304472,1.2883809928953756,-1.4077829723875868,18.188139132655255,-1.2293553544102198,0.9999988619895448,0.9999988619895448,1.00046661312068,0.9995343752251915
9,-0.8267661269993843,1.2998025295554292,-1.4224202263325003,18.190712905958065,-1.2282923415608469,0.9999975013872202,0.9999975013872202,1.0000156670317075,0.9999843340301692
10,-0.8127457987310327,1.3130961370112146,-1.4394304788575305,18.194401887739733,-1.2267700108889419,0.999991170154569,1.0000088301439214,0.9999912705351695,0.9999912705351695
11,-0.7967057263475265,1.3285524736718137,-1.4591715853197098,18.199610108651726,-1.2246233112386606,1.0000048230186036,0.9999951770626514,0.9999715860823964,0.9999715860823964
12,-0.7784214043905681,1.3464958941305127,-1.4820384931689452,18.206869947005156,-1.2216360218657936,1.0000024218610226,0.9999975781575331,0.9999126412519657,0.9999126412519657
13,-0.7576700280295341,1.3672817264690644,-1.5084578109128608,18.216875167531786,-1.2175286868012856,1.000001356288065,0.9999986437170013,0.9997438156803168,0.9997438156803168
