Index,Initial theta2,Initial omega1,Initial omega2,Period,Hamiltonian,Eig1,Eig2,Eig3,Eig4
0,1.834623846202706e-15,1.5815144444710953,-1.9831373659166012,48.15747124251391,-1.66875554544943,0.9999999999968808,0.9999999999968808,1.0000000000000107,1.0000000000000107
1,-0.0010001901015074303,1.5815134906893782,-1.9831358032269728,48.15747196868464,-1.6687552294554835,0.9998753812169917,1.000124638959542,0.9999999961577695,0.9999999961577695
2,-0.0024353644720720834,1.5815093136609828,-1.983126568755062,48.15747557537187,-1.6687536693170406,0.999418250876877,1.0005821149743686,0.9999999824738526,0.9999999824738526
3,-0.0044915604875506625,1.58149401070927,-1.9831093936128223,48.15748595615173,-1.668749166371744,0.9998636489420663,1.0001363696376346,1.000000000005664,1.000000000005664
4,-0.00709526098911273,1.5814649648250523,-1.983063130593629,48.15750795948379,-1.6687396271689083,0.9999999626082079,0.9999999626082079,1.0000000000712483,1.0000000000712483
5,-0.01039544645056555,1.5814081930624195,-1.9829781531669801,48.15755006058994,-1.6687213755029626,0.9999996893182908,0.9999996893182908,1.0000000002601608,1.0000000002601608
6,-0.014577156192751343,1.581305704726086,-1.9828238421884268,48.15762623223487,-1.668688356369274,0.9999981389454784,0.9999981389454784,1.000003826321804,0.999996173502586
7,-0.019434837660323563,1.5811459449109138,-1.9825728709334283,48.15774676180271,-1.668636114763686,0.9999952170788597,0.9999952170788597,1.000008232376844,0.9999917670374
8,-0.025073414681233686,1.5808887007265193,-1.9822346975950709,48.157929674985134,-1.668556844560256,0.9999999997692142,0.9999999997692142,0.9999999999999933,0.9999999999999933
9,-0.031175574075004327,1.580573515904166,-1.9816658218376337,48.158180304692934,-1.6684482628924742,0.9999999996497513,0.9999999996497513,0.9999999999999651,0.9999999999999651
10,-0.037796294469974664,1.5801282961874248,-1.980986370543483,48.158513614550834,-1.6683039090795027,0.999999999425845,0.999999999425845,0.9999999999999178,0.9999999999999178
11,-0.04497357287604371,1.579528905471354,-1.9801643649424494,48.158947428426,-1.668116120154231,0.9999999989644766,0.9999999989644766,0.9999999999997977,0.9999999999997977
12,-0.05274066866801251,1.5787688121816603,-1.9791017369837078,48.1595018673711,-1.667876252224521,0.9999999980442702,0.9999999980442702,0.9999999999995144,0.9999999999995144
13,-0.06112201772822362,1.5778572136928755,-1.9776428131692254,48.16019949880366,-1.667574665436633,0.999999996209409,0.999999996209409,0.9999999999988376,0.9999999999988376
14,-0.07016885193659493,1.5766880481300973,-1.9759388686374797,48.161068335562575,-1.6671994192505522,0.999999992655772,0.999999992655772,0.999999999997448,0.999999999997448
15,-0.07991170719094706,1.575263565298788,-1.9738136541925326,48.162138942911696,-1.6667375680130747,0.9999999863462679,0.9999999863462679,0.9999999999946767,0.9999999999946767
16,-0.09038417539799573,1.5735316730399675,-1.9712290956546477,48.16344618372654,-1.666174439256738,0.9999999750990194,0.9999999750990194,0.9999999999895273,0.9999999999895273
17,-0.10162282917020987,1.571442639683556,-1.9681172597992571,48.165030057010675,-1.6654933241346312,0.9999999574936105,0.9999999574936105,0.9999999999813622,0.9999999999813622
18,-0.11365416956926128,1.568950695689899,-1.9643865085017722,48.16693424085333,-1.6646761697759915,0.9999999322842097,0.9999999322842097,0.9999999999702982,0.9999999999702982
