Index,Initial theta2,Initial omega1,Initial omega2,Period,Hamiltonian,Eig1,Eig2,Eig3,Eig4
0,4.296957075830403e-09,-0.3663567812426119,-0.7362164632339898,16.885861301074126,-2.3250574747009463,0.99999999999999,0.99999999999999,0.9999999609675221,1.0000000390324797
1,8.175645903593866e-10,-0.36635664235239573,-0.7362157402726225,16.885860623114958,-2.3250584758384347,0.9999999999995051,0.9999999999995051,0.9999999999999407,0.9999999999999407
2,-1.7623720088828997e-10,-0.366356363791197,-0.7362142341110327,16.885859221444065,-2.3250605456756057,0.999999999996368,0.999999999996368,0.9999999999997515,0.9999999999997515
3,8.759983300747904e-11,-0.3663557880288868,-0.7362111092051886,16.885856315506796,-2.3250648368506788,0.9999999999798781,0.9999999999798781,1.0000000867348848,0.9999999132651227
4,7.00640563979522e-11,-0.36635481856429397,-0.7362058557441501,16.885851428676347,-2.325072053191616,0.9999999999227827,0.9999999999227827,0.9999999999999967,0.9999999999999967
5,2.562142324000812e-11,-0.3663531844217027,-0.7361970011794975,16.885843191975095,-2.3250842162474186,0.9999999997427564,0.9999999997427564,0.9999999999999986,0.9999999999999986
6,3.0712161267508107e-11,-0.36635043015635305,-0.7361820768438289,16.885829309273245,-2.3251047166660745,0.9999999992012685,0.9999999992012685,0.9999999999999925,0.9999999999999925
7,-2.0172250161832404e-12,-0.3663457873756111,-0.736156922231487,16.885805910212007,-2.3251392696905753,0.999999997612197,0.999999997612197,0.9999999999999994,0.9999999999999994
8,-2.9472700783215573e-12,-0.36633796092926635,-0.736114524623524,16.88576647165288,-2.325197507740331,0.9999999930116641,0.9999999930116641,0.9999999999999971,0.9999999999999971
9,-7.898608860748047e-13,-0.36632476627850624,-0.7360430644380622,16.885699999019113,-2.3252956657061223,0.9999999797939245,0.9999999797939245,0.9999999199857537,1.0000000800142508
10,8.843170417371733e-13,-0.3663025176382907,-0.7359226201687963,16.885587961680514,-2.325461105578999,0.9999999419800242,0.9999999419800242,0.9999999232368012,1.0000000767632053
11,5.097084125906104e-13,-0.3662649915018527,-0.7357196152989713,16.885399127897685,-2.3257399411870905,0.9999998340424704,0.9999998340424704,0.9999999378797587,1.0000000621202476
12,-5.844533095865499e-13,-0.3662016667280601,-0.7353774594128437,16.885080860998393,-2.326209884068117,0.9999995262139368,0.9999995262139368,0.9999999999999978,0.9999999999999978
13,1.1175251552299177e-13,-0.3660947204280436,-0.7348007767009442,16.884544453864873,-2.3270018800379155,0.9999986481357952,0.9999986481357952,0.9999999999999905,0.9999999999999905
14,5.4360861936419266e-14,-0.36591385733194504,-0.7338288309583332,16.883640424020406,-2.3283365342822644,0.9999961400804507,0.9999961400804507,0.9999999999999476,0.9999999999999476
15,2.981827699084486e-13,-0.3656072892371004,-0.732190755360106,16.882116913510124,-2.3305853816676247,0.9999889561119439,0.9999889561119439,0.9999999999999986,0.9999999999999986
16,3.669691478505781e-14,-0.36514571583644584,-0.7297463107599863,16.879843680430074,-2.3339400281509235,0.9999711976592037,0.9999711976592037,0.9999999343575978,1.000000065642406
17,8.820809376454192e-14,-0.36444782115901064,-0.7260987569915854,16.876452198434635,-2.338942973268238,0.9999285627003758,0.9999285627003758,0.9999999038584153,1.0000000961415922
18,6.556533382547814e-16,-0.36338606289018144,-0.7206564050390838,16.87139336596783,-2.3464012485115004,0.9998274723529867,0.9998274723529867,0.9999999999999961,0.9999999999999961
19,1.5470159031013984e-15,-0.361756171819282,-0.712537116224109,16.863849893549236,-2.357513201707789,0.999588049123203,0.999588049123203,0.999999999999992,0.999999999999992
20,-7.895547764032363e-15,-0.3592217998430529,-0.7004263245154125,16.852607664605973,-2.3740527755305516,0.9990163697406171,0.9990163697406171,0.999999938788545,1.000000061211459
21,-2.5775300780537254e-15,-0.3552092633286724,-0.6823661479685864,16.835869808433603,-2.398631822558413,0.9976285159604668,0.9976285159604668,0.9999999999999952,0.9999999999999952
22,-3.3311282244203384e-15,-0.3486976558472584,-0.6554418224577766,16.810997820024998,-2.4350569264579596,0.9941766945440295,0.9941766945440295,0.9999999999999992,0.9999999999999992
23,-1.5714881027114823e-15,-0.33873934425245367,-0.6186286216152348,16.777215044022125,-2.484351117292891,0.9862567563030994,0.9862567563030994,0.9999999999999984,0.9999999999999984
24,-1.3546912750268864e-15,-0.3230816991991462,-0.5682775604198101,16.73163985947939,-2.5505484429670693,0.9682079173190528,0.9682079173190528,0.9999999367784219,1.0000000632215815
25,-1.581412496204672e-17,-0.29769706088816045,-0.4992913334995901,16.671049020931147,-2.638092979574893,0.9276609592780414,0.9276609592780414,0.9999999451112939,1.0000000548887094
26,1.509865970801382e-17,-0.25524331110113313,-0.4042765689252723,16.59323980527747,-2.749942189994043,0.8409291323615191,0.8409291323615191,0.9999999556990687,1.0000000443009334
27,-2.3254068323450317e-16,-0.1825402144777391,-0.2718823984187314,16.50241101448175,-2.880089579493383,0.6809350495124025,0.6809350495124025,0.999999999999999,0.999999999999999
28,-1.0200311680725047e-17,-0.06920340664649029,-0.09854070622562164,16.43022760047664,-2.983536400552634,0.5049784631960221,0.5049784631960221,1.0,1.0
29,1.870944709104311e-16,0.07824166893732191,0.11162659708119382,16.433449761853545,-2.9789141414005122,0.5137498360343076,0.5137498360343076,1.0000000374831262,0.9999999625168751
30,6.823994484805248e-19,0.21171317529471517,0.3218888895602744,16.53373723868197,-2.8352231838945605,0.7437442915292332,0.7437442915292332,0.9999999999999989,0.9999999999999989
31,2.480105112676101e-15,0.31288665539325716,0.539048701607513,16.705653030861406,-2.588154044184396,0.9533719202506232,0.9533719202506232,0.9999999549629334,1.0000000450370676
32,-5.970114778452179e-13,0.47013428547736796,0.7082366031742109,16.972216003490423,-2.1952079011985868,0.9998678776567844,0.9998678776567844,0.9999999999999889,0.9999999999999889
33,-1.208840561951998e-13,0.5146901052566842,0.8227378570601663,17.120750123700788,-1.9731902705819302,0.9989290121679244,0.9989290121679244,0.9999999881901676,1.0000000118098347
34,1.5016322568799292e-13,0.5082558636573616,0.9259306156060059,17.20798774330335,-1.8423925598780277,0.9987392383811999,0.9987392383811999,0.9999999332844076,1.0000000667155964
35,-9.647221671270505e-14,0.4728861227450024,1.0523212177183157,17.28550660890041,-1.7250606417560053,0.9995206348414748,0.9995206348414748,0.9999998675608619,1.000000132439161
36,1.973244721609862e-12,0.3971930640901757,1.197468387179112,17.334738769164538,-1.6496462628371933,0.9999995489894433,0.9999995489894433,0.9999999015780145,1.0000000984219823
37,-5.89154205931071e-16,0.37384961163006153,1.319487996317102,17.43810601374517,-1.4964221066979153,0.9920674151271462,0.9920674151271462,0.999999949589728,1.000000050410275
38,1.8364729143423266e-14,0.3730577243235045,1.327532467414355,17.446323704330243,-1.4844104670437794,0.9905975242044736,0.9905975242044736,0.9999999999999867,0.9999999999999867
39,-1.2336190591639731e-14,0.3718570008272317,1.3395015081206534,17.458622072153577,-1.4664872123937238,0.9881313825710232,0.9881313825710232,0.9999998478488685,1.0000001521511557
40,-2.897370431313352e-14,0.3700265938286642,1.3572791600486371,17.477055005578308,-1.4397475762409622,0.9838206067273344,0.9838206067273344,0.9999999999999848,0.9999999999999848
41,-1.1326553875260507e-14,0.3672212180427082,1.383609826911435,17.50474836184718,-1.3998696145220064,0.9759169443921136,0.9759169443921136,0.999999999999976,0.999999999999976
42,-1.1538842027126376e-14,0.36326999503462404,1.4192349798749084,17.54304050191832,-1.3453554625651556,0.9621063051888418,0.9621063051888418,0.9999999784061758,1.0000000215938247
43,-1.3359476138719159e-14,0.3577347900217956,1.4671340926550938,17.596229453300946,-1.2709396905228316,0.9374343191654753,0.9374343191654753,0.9999999999999916,0.9999999999999916
44,-8.546676965833167e-15,0.3501178036292733,1.5308670112923766,17.670601186675736,-1.1696568248079902,0.8931473267146539,0.8931473267146539,0.9999999999999951,0.9999999999999951
45,-9.712521086517705e-15,0.3400758424236563,1.61415390439295,17.775541846616516,-1.0326672590284716,0.8158722683012952,0.8158722683012952,0.9999999999999702,0.9999999999999702
46,-3.9393019117094864e-15,0.3280465865699349,1.719564149421,17.925221129324576,-0.8498378554472379,0.6926188960870706,0.6926188960870706,0.999999999999991,0.999999999999991
47,3.998889692017035e-15,0.31712708938600254,1.8380498181650404,18.126147134072017,-0.6273214531681428,0.5422732692123231,0.5422732692123231,0.9999999999999672,0.9999999999999672
48,-4.2877996062924895e-16,0.31185604611387086,1.9616783798869653,18.394686909400832,-0.3668935101456361,0.42433193169406314,0.42433193169406314,0.9999999999999677,0.9999999999999677
49,-6.294004636392466e-15,0.3179963150908269,2.079130385086502,18.74789588903283,-0.07633096344280332,0.45148826798283104,0.45148826798283104,0.9999999999999598,0.9999999999999598
50,4.786668112851271e-16,0.3385603234285914,2.1766943606164526,19.1797267826258,0.2205646091053035,0.7260696091794047,0.7260696091794047,0.9999999999999822,0.9999999999999822
51,-0.12212934734574413,0.38151130193386584,2.237194789131534,19.66597277019016,0.502677328699678,0.9999999999998586,0.9999999999998586,0.999224991128021,0.999224991128021
52,-0.18218878514356446,0.40534929926566854,2.2137752494388048,19.68571716013825,0.5137596018128932,0.9959825871712027,0.9959825871712027,0.9999999346303086,1.0000000653698358
53,-0.2410605250485778,0.43956444517674387,2.1803754176648167,19.714579691996224,0.5298532945916525,0.9862421910997492,0.9862421910997492,0.9999999999999063,0.9999999999999063
54,-0.2999653994374938,0.48417463741390115,2.1376554960118472,19.755847701632582,0.5526463626516955,0.9607917569752096,0.9607917569752096,0.9999999999998972,0.9999999999998972
55,-0.35910397605694167,0.5392201476624895,2.086465089043873,19.814330530295766,0.5845130934311165,0.898580689876615,0.898580689876615,1.000000156082016,0.9999998439179634
56,-0.41774395124669,0.6041047650662708,2.0284166023984715,19.896000901087646,0.6281747857554207,0.7555191603065987,0.7555191603065987,1.0000005700462753,0.999999429953921
57,-0.47733738761724487,0.6812699180816558,1.9626439503195605,20.013921062831894,0.6895251141862548,0.43932792612670335,0.43932792612670335,0.9999999999997007,0.9999999999997007
58,-0.5352279646967348,0.7686189108524661,1.892363072170575,20.179160777175166,0.7722384841211931,-0.07241335187437356,-0.07241335187437356,0.9999999999999698,0.9999999999999698
59,-0.5889766183173466,0.8632775958310497,1.8209817380359872,20.403703310877543,0.8788695423720254,0.37357673227239846,0.37357673227239846,1.0000007172086585,0.9999992827917085
